id_siniestro,score_isolation_forest,score_random_forest
SIN-0001,62.1,2.0
SIN-0002,87.4,1.6
SIN-0003,81.1,2.3
SIN-0004,18.2,93.5
SIN-0005,0.0,51.8
SIN-0006,20.5,87.5
SIN-0007,69.0,0.1
SIN-0008,84.5,0.1
SIN-0009,27.5,69.2
SIN-0010,95.4,1.0
SIN-0011,89.0,0.9
SIN-0012,87.4,0.3
SIN-0013,84.7,0.1
SIN-0014,78.6,0.1
SIN-0015,73.6,0.2
SIN-0016,77.8,0.1
SIN-0017,93.9,0.9
SIN-0018,79.5,0.3
SIN-0019,72.4,0.1
SIN-0020,86.6,0.3
SIN-0021,55.3,81.7
SIN-0022,19.6,74.9
SIN-0023,85.5,0.1
SIN-0024,85.0,0.1
SIN-0025,80.5,0.1
SIN-0026,65.0,0.7
SIN-0027,77.6,0.3
SIN-0028,90.1,0.9
SIN-0029,92.4,0.8
SIN-0030,88.2,0.6
SIN-0031,74.2,24.0
SIN-0032,92.4,9.9
SIN-0033,77.1,0.1
SIN-0034,68.1,6.7
SIN-0035,82.7,9.0
SIN-0036,74.6,0.1
SIN-0037,92.3,10.3
SIN-0038,58.7,13.7
SIN-0039,92.2,4.6
SIN-0040,59.4,95.1
SIN-0041,88.7,0.1
SIN-0042,92.8,0.5
SIN-0043,60.8,14.3
SIN-0044,92.2,0.1
SIN-0045,87.3,0.1
SIN-0046,81.2,6.3
SIN-0047,84.0,3.7
SIN-0048,84.3,0.1
SIN-0049,92.7,2.7
SIN-0050,59.6,0.3
SIN-0051,90.7,0.8
SIN-0052,79.9,0.3
SIN-0053,36.7,93.9
SIN-0054,83.3,4.0
SIN-0055,80.7,1.4
SIN-0056,33.7,76.4
SIN-0057,43.5,91.2
SIN-0058,82.3,2.0
SIN-0059,75.0,0.3
SIN-0060,86.5,1.8
SIN-0061,47.8,98.7
SIN-0062,75.2,0.1
SIN-0063,59.0,92.0
SIN-0064,69.3,0.1
SIN-0065,78.4,0.3
SIN-0066,95.6,0.1
SIN-0067,84.3,10.4
SIN-0068,82.3,0.1
SIN-0069,77.4,0.1
SIN-0070,50.7,24.2
SIN-0071,57.6,88.8
